24, Local-gov, 69640, Some-college, 10, Never-married, Protective-serv, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
21, Self-emp-not-inc, 74538, Some-college, 10, Never-married, Tech-support, Not-in-family, White, Male, 0, 0, 25, United-States, <=50K
37, Private, 89718, Some-college, 10, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 45, United-States, <=50K
34, Private, 93169, Some-college, 10, Divorced, Other-service, Unmarried, Black, Female, 0, 0, 40, United-States, <=50K
74, Self-emp-not-inc, 292915, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 1825, 12, United-States, >50K
43, Private, 328570, Some-college, 10, Divorced, Machine-op-inspct, Unmarried, Black, Female, 0, 0, 38, United-States, <=50K
25, Private, 312157, Some-college, 10, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
43, Private, 193459, 11th, 7, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 0, 0, 40, United-States, <=50K
23, Private, 236804, 11th, 7, Married-civ-spouse, Other-service, Husband, White, Male, 0, 0, 40, United-States, <=50K
33, Private, 126223, HS-grad, 9, Separated, Machine-op-inspct, Unmarried, Black, Female, 0, 0, 40, United-States, <=50K
51, State-gov, 172281, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 35, United-States, >50K
64, Private, 153894, Bachelors, 13, Never-married, Sales, Unmarried, White, Female, 0, 0, 40, Peru, <=50K
35, Private, 331395, Some-college, 10, Never-married, Exec-managerial, Not-in-family, White, Male, 0, 0, 50, United-States, <=50K
69, Self-emp-not-inc, 92472, 10th, 6, Married-spouse-absent, Farming-fishing, Not-in-family, White, Male, 3273, 0, 45, United-States, <=50K
32, Private, 318647, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 48, United-States, >50K
20, Private, 332931, Some-college, 10, Never-married, Other-service, Own-child, White, Female, 0, 0, 40, United-States, <=50K
66, Self-emp-inc, 76212, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 50, United-States, >50K
31, Private, 301168, Some-college, 10, Never-married, Craft-repair, Not-in-family, White, Male, 0, 0, 40, Italy, <=50K
22, Private, 440969, Some-college, 10, Never-married, Other-service, Own-child, White, Female, 0, 0, 24, United-States, <=50K
32, Private, 154950, Prof-school, 15, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
23, Private, 218343, Assoc-acdm, 12, Never-married, Sales, Own-child, White, Female, 0, 0, 40, United-States, <=50K
21, Private, 239577, Some-college, 10, Never-married, Adm-clerical, Own-child, White, Male, 0, 0, 40, United-States, <=50K
36, Private, 247936, HS-grad, 9, Married-civ-spouse, Other-service, Wife, Asian-Pac-Islander, Female, 0, 0, 2, Taiwan, <=50K
62, Local-gov, 203525, 7th-8th, 4, Married-civ-spouse, Craft-repair, Husband, White, Male, 2829, 0, 40, United-States, <=50K
24, Private, 182342, HS-grad, 9, Never-married, Handlers-cleaners, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
45, Private, 25649, Some-college, 10, Married-civ-spouse, Transport-moving, Husband, White, Male, 7298, 0, 50, United-States, >50K
27, Private, 243569, 11th, 7, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 3942, 0, 40, United-States, <=50K
38, Private, 187870, Prof-school, 15, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 2415, 90, United-States, >50K
20, ?, 289116, Some-college, 10, Never-married, ?, Own-child, White, Female, 0, 0, 5, United-States, <=50K
30, Private, 487330, Some-college, 10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 30, United-States, <=50K
17, ?, 34019, 10th, 6, Never-married, ?, Own-child, White, Male, 0, 0, 20, United-States, <=50K
17, ?, 250541, 11th, 7, Never-married, ?, Own-child, Black, Male, 0, 0, 8, United-States, <=50K
21, Self-emp-not-inc, 318987, Assoc-voc, 11, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 40, United-States, <=50K
56, Self-emp-not-inc, 140558, HS-grad, 9, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 40, United-States, <=50K
59, Local-gov, 303455, Masters, 14, Widowed, Prof-specialty, Unmarried, White, Female, 4787, 0, 60, United-States, >50K
37, Self-emp-not-inc, 76855, Some-college, 10, Divorced, Exec-managerial, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
52, Private, 308764, Some-college, 10, Divorced, Exec-managerial, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
50, Federal-gov, 339905, Some-college, 10, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, >50K
55, Private, 227856, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 7298, 0, 60, United-States, >50K
55, Private, 156430, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, >50K
45, ?, 98265, HS-grad, 9, Divorced, ?, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
72, Private, 116640, Some-college, 10, Married-civ-spouse, Prof-specialty, Husband, White, Male, 3471, 0, 20, United-States, <=50K
39, Private, 187167, Some-college, 10, Divorced, Exec-managerial, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
28, Private, 184078, 12th, 8, Divorced, Machine-op-inspct, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
38, Private, 108140, Bachelors, 13, Divorced, Tech-support, Other-relative, White, Male, 0, 0, 40, United-States, <=50K
44, Private, 150533, Some-college, 10, Separated, Craft-repair, Not-in-family, White, Male, 0, 1876, 55, United-States, <=50K
51, Self-emp-not-inc, 313702, HS-grad, 9, Never-married, Sales, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
20, Private, 39803, Some-college, 10, Never-married, Other-service, Own-child, White, Male, 0, 1719, 36, United-States, <=50K
